iter	RMSE
0	174579.4277
1	166182.2857
2	158214.8942
3	150740.4653
4	143460.8985
5	136705.975
6	130303.2578
7	124060.083
8	118120.8964
9	112506.1933
10	107121.662
11	101999.6416
12	97146.37274
13	92634.08028
14	88228.43782
15	84016.19367
16	80023.08549
17	76200.55324
18	72597.00029
19	69129.55366
20	65832.62222
21	62667.03801
22	59709.18117
23	56936.56739
24	54305.15028
25	51746.90413
26	49302.11383
27	47017.31666
28	44831.36204
29	42721.56853
30	40697.12838
31	38882.07303
32	37064.76534
33	35349.49373
34	33727.70824
35	32146.55364
36	30679.00533
37	29303.81871
38	27969.24391
39	26661.24688
40	25451.55542
41	24312.28876
42	23195.65954
43	22136.5321
44	21138.1443
45	20211.42768
46	19293.55908
47	18430.1461
48	17645.08629
49	16881.53427
50	16158.97424
51	15466.95569
52	14830.03696
53	14188.86808
54	13604.35368
55	13041.35796
56	12513.18356
57	12004.67723
58	11517.69797
59	11060.42727
60	10633.12638
61	10239.67534
62	9860.722695
63	9498.644561
64	9169.395339
65	8843.691246
66	8539.724239
67	8252.98975
68	7988.944781
69	7738.253704
70	7498.355393
71	7280.280404
72	7069.55105
73	6878.901724
74	6688.964238
75	6522.799299
76	6359.612271
77	6199.22637
78	6059.428
79	5930.784985
80	5805.687794
81	5691.863084
82	5576.419611
83	5476.377919
84	5383.409108
85	5295.437425
86	5217.472609
87	5144.651396
88	5078.312959
89	5013.761817
90	4950.517349
91	4891.364865
92	4830.333381
93	4783.622916
94	4739.360099
95	4692.872719
96	4655.084487
97	4618.902392
98	4588.170324
99	4552.145011
100	4519.793459
101	4478.383964
102	4451.198879
103	4422.693322
104	4386.644919
105	4364.982335
106	4340.304173
107	4321.557478
108	4306.039827
109	4288.536149
110	4264.889711
111	4250.397242
112	4234.8501
113	4218.531211
114	4201.085485
115	4186.317343
116	4156.177556
117	4137.015418
118	4126.666798
119	4116.214754
120	4107.94603
121	4097.059746
122	4081.950097
123	4075.241004
124	4062.130586
125	4040.175291
126	4030.153715
127	4029.56719
128	4021.767795
129	3998.41745
130	3991.209636
131	3981.263986
132	3980.730669
133	3980.194334
134	3979.689653
135	3979.197448
136	3955.372757
137	3929.844645
138	3922.403261
139	3921.951683
140	3921.511274
141	3921.081759
142	3920.66287
143	3903.478617
144	3887.025656
145	3880.21872
146	3874.888289
147	3874.51451
148	3874.149887
149	3863.841103
150	3851.966856
151	3845.21333
152	3844.879376
153	3837.973229
154	3833.703172
155	3833.39425
156	3828.234482
157	3827.9403
158	3827.653406
159	3827.373618
160	3818.037442
161	3807.680577
162	3789.496952
163	3784.302203
164	3770.012574
165	3752.699809
166	3745.747775
167	3742.073856
168	3726.01613
169	3725.792642
170	3725.574092
171	3708.738316
172	3703.997677
173	3701.171632
174	3693.703125
175	3693.508013
176	3684.514797
177	3669.024637
178	3664.18428
179	3663.989509
180	3657.175174
181	3646.513656
182	3637.258179
183	3624.002688
184	3621.414581
185	3616.066193
186	3611.315811
187	3603.632326
188	3602.940223
189	3602.79984
190	3602.66294
191	3591.990386
192	3578.176796
193	3560.299889
194	3548.621443
195	3548.498881
196	3544.670733
197	3544.554056
198	3538.618682
199	3531.704525
200	3529.448285
201	3520.086336
202	3519.982731
203	3514.79864
204	3511.349296
205	3497.573753
206	3491.034132
207	3484.131978
208	3484.041969
209	3480.64287
210	3473.541339
211	3469.045927
212	3463.697546
213	3454.189621
214	3450.289679
215	3438.98386
216	3433.786299
217	3428.838584
218	3417.841743
219	3417.77217
220	3413.647735
221	3407.526623
222	3395.927884
223	3389.05473
224	3380.596447
225	3378.301678
226	3365.843502
227	3361.110804
228	3355.07318
229	3352.536432
230	3343.337885
231	3342.288863
232	3340.754973
233	3331.723946
234	3326.112777
235	3321.550314
236	3317.375333
237	3307.819412
238	3301.503826
239	3296.771591
240	3291.372219
241	3288.763655
242	3285.349839
243	3279.211474
244	3274.273806
245	3273.932101
246	3268.821191
247	3264.717894
248	3259.415089
249	3257.300393
250	3252.368887
251	3245.32234
252	3238.001927
253	3228.376347
254	3224.541358
255	3216.734238
256	3211.461917
257	3210.002518
258	3206.520954
259	3201.898522
260	3200.418502
261	3193.262259
262	3187.615776
263	3185.165846
264	3180.946698
265	3176.716232
266	3172.386635
267	3170.220844
268	3165.537605
269	3157.939916
270	3151.301578
271	3149.174011
272	3145.495251
273	3135.098432
274	3128.240504
275	3126.237174
276	3123.954009
277	3117.705974
278	3113.895588
279	3107.452787
280	3102.535081
281	3097.197898
282	3095.353418
283	3089.525513
284	3087.581087
285	3084.035135
286	3079.194703
287	3077.516549
288	3073.596347
289	3068.94624
290	3064.671382
291	3059.825276
292	3052.548443
293	3047.001575
294	3042.071066
295	3038.814966
296	3032.184824
297	3028.932561
298	3023.576416
299	3020.264956
300	3014.546825
301	3009.723705
302	3006.509402
303	3004.868143
304	3001.497251
305	2997.997214
306	2992.794747
307	2989.92097
308	2985.131621
309	2982.326907
310	2977.951096
311	2973.037513
312	2971.863944
313	2967.086354
314	2962.003466
315	2958.936495
316	2954.182179
317	2951.336406
318	2950.158128
319	2946.484427
320	2944.129651
321	2941.607602
322	2939.983441
323	2936.812506
324	2935.164477
325	2934.073329
326	2927.413347
327	2926.04927
328	2922.280539
329	2919.588255
330	2917.326414
331	2915.87837
332	2910.844747
333	2907.699794
334	2905.478548
335	2903.316593
336	2898.88193
337	2897.683658
338	2894.198382
339	2889.407531
340	2886.607798
341	2883.548559
342	2882.502724
343	2880.655581
344	2879.676674
345	2875.842296
346	2870.514167
347	2866.38051
348	2861.690418
349	2856.02796
350	2849.359122
351	2845.159849
352	2840.732914
353	2835.397143
354	2834.395688
355	2832.406491
356	2828.520721
357	2824.041166
358	2819.193737
359	2817.414927
360	2813.229462
361	2805.186616
362	2801.544575
363	2798.995232
364	2794.911145
365	2788.824599
366	2784.748891
367	2781.132641
368	2778.407534
369	2774.823894
370	2773.99281
371	2768.964526
372	2767.410597
373	2761.902739
374	2758.425559
375	2756.899
376	2753.493765
377	2749.660875
378	2748.586615
379	2744.991272
380	2743.232447
381	2742.430374
382	2738.825411
383	2737.548123
384	2736.149606
385	2732.615662
386	2729.048934
387	2725.729147
388	2724.933985
389	2721.592923
390	2720.822593
391	2716.79364
392	2711.053683
393	2707.224859
394	2706.377808
395	2702.775373
396	2702.03875
397	2698.530132
398	2696.263869
399	2694.784516
400	2690.814428
401	2687.514012
402	2683.251182
403	2682.550027
404	2679.479687
405	2676.324175
406	2674.70027
407	2668.418572
408	2664.750863
409	2660.159678
410	2656.683316
411	2652.383862
412	2649.573355
413	2647.923585
414	2646.561186
415	2643.321774
416	2640.501954
417	2634.037622
418	2630.700124
419	2627.443137
420	2624.396739
421	2621.830274
422	2618.464132
423	2616.01925
424	2615.282277
425	2611.942694
426	2609.079399
427	2607.48177
428	2603.3672
429	2600.112777
430	2597.876032
431	2596.085197
432	2595.379433
433	2592.93725
434	2590.192017
435	2588.570384
436	2587.952294
437	2585.050029
438	2583.044867
439	2581.617035
440	2580.436102
441	2573.903229
442	2571.463834
443	2568.354853
444	2565.101459
445	2563.071166
446	2561.966518
447	2558.990623
448	2558.428672
449	2556.352618
450	2554.870466
451	2552.068153
452	2551.102001
453	2549.623266
454	2544.148763
455	2543.662825
456	2541.901387
457	2538.925997
458	2536.525687
459	2533.934337
460	2531.201373
461	2529.704759
462	2526.88601
463	2524.306191
464	2522.552022
465	2519.869874
466	2518.439008
467	2517.941104
468	2515.881097
469	2514.234537
470	2512.873556
471	2510.79294
472	2509.056347
473	2508.019407
474	2507.531315
475	2501.845318
476	2501.368627
477	2500.90951
478	2498.573405
479	2492.802314
480	2489.811047
481	2487.099684
482	2484.714756
483	2483.53225
484	2482.156833
485	2480.011416
486	2475.963366
487	2473.977813
488	2469.565608
489	2467.099256
490	2464.959006
491	2463.745949
492	2461.441009
493	2459.580596
494	2455.018608
495	2453.309434
496	2450.813036
497	2446.787536
498	2444.834029
499	2443.952185
500	2442.179186
501	2439.686709
502	2435.931
503	2434.271293
504	2433.790704
505	2432.473983
506	2431.205273
507	2428.396519
508	2425.625798
509	2420.695582
510	2420.164495
511	2419.028818
512	2416.882433
513	2414.292455
514	2413.473673
515	2412.318456
516	2410.834027
517	2405.022493
518	2403.346787
519	2401.707043
520	2396.832516
521	2395.799358
522	2391.201719
523	2389.651142
524	2387.640167
525	2385.644707
526	2384.869859
527	2381.661998
528	2379.297936
529	2378.834665
530	2375.759966
531	2372.451146
532	2370.271233
533	2368.673116
534	2367.204329
535	2365.668163
536	2364.191617
537	2361.268469
538	2361.082536
539	2357.320945
540	2355.01857
541	2350.567398
542	2347.699724
543	2346.524919
544	2345.780332
545	2340.985564
546	2339.253987
547	2337.398125
548	2334.021226
549	2332.955189
550	2331.851289
551	2330.000413
552	2325.206422
553	2324.148238
554	2320.685189
555	2318.680186
556	2316.055591
557	2314.775536
558	2311.104901
559	2308.970365
560	2307.079678
561	2305.629567
562	2303.711626
563	2299.981002
564	2297.436323
565	2296.365069
566	2295.392256
567	2292.597739
568	2290.742034
569	2288.264357
570	2287.390556
571	2284.988881
572	2282.138571
573	2278.468065
574	2276.727352
575	2275.264845
576	2274.238794
577	2272.526282
578	2271.335655
579	2270.531956
580	2268.922428
581	2266.630976
582	2265.218763
583	2262.264183
584	2257.31762
585	2254.984462
586	2252.926578
587	2251.994109
588	2250.245899
589	2248.894627
590	2246.694097
591	2244.804896
592	2242.384554
593	2242.011718
594	2239.952695
595	2237.821531
596	2236.774228
597	2233.119319
598	2229.670884
599	2228.737154
600	2224.748349
601	2222.979282
602	2221.201709
603	2219.968654
604	2219.430856
605	2215.581828
606	2214.626945
607	2213.021311
608	2210.708448
609	2208.398498
610	2206.026125
611	2204.683741
612	2203.939707
613	2202.074048
614	2201.0192
615	2198.313607
616	2197.949069
617	2196.807069
618	2195.13218
619	2193.677724
620	2192.460083
621	2188.298083
622	2187.219288
623	2184.154677
624	2182.529787
625	2180.896381
626	2180.333586
627	2176.297363
628	2174.971658
629	2173.861882
630	2172.460537
631	2169.652689
632	2167.989667
633	2166.613886
634	2164.552286
635	2162.885975
636	2158.720303
637	2157.887568
638	2156.505581
639	2155.467388
640	2152.46169
641	2149.859911
642	2149.194854
643	2146.495012
644	2145.716791
645	2145.342841
646	2144.258999
647	2142.859118
648	2141.657502
649	2140.382494
650	2140.033727
651	2138.780658
652	2137.665635
653	2136.029284
654	2135.186075
655	2133.205301
656	2131.768359
657	2131.107919
658	2129.597209
659	2127.043941
660	2126.469986
661	2125.707523
662	2124.564162
663	2122.972146
664	2122.611389
665	2121.66565
666	2120.394946
667	2117.198486
668	2115.164983
669	2112.497942
670	2111.192748
671	2109.320148
672	2106.647182
673	2105.198066
674	2104.346778
675	2102.4619
