iter	Passed	Remaining
0	96	96792
1	128	64042
2	170	56630
3	205	51248
4	234	46734
5	256	42511
6	286	40621
7	317	39361
8	345	38049
9	369	36592
10	403	36242
11	433	35682
12	456	34639
13	480	33871
14	506	33247
15	535	32935
16	556	32187
17	580	31657
18	603	31185
19	622	30491
20	643	29994
21	674	29965
22	704	29921
23	731	29736
24	754	29438
25	787	29483
26	815	29391
27	844	29323
28	866	29000
29	898	29049
30	926	28945
31	958	28994
32	982	28792
33	1013	28802
34	1045	28819
35	1080	28927
36	1105	28776
37	1144	28983
38	1194	29435
39	1239	29739
40	1271	29738
41	1308	29836
42	1336	29736
43	1364	29644
44	1391	29527
45	1415	29360
46	1442	29245
47	1469	29154
48	1499	29097
49	1533	29129
50	1557	28978
51	1591	29009
52	1621	28975
53	1651	28930
54	1683	28931
55	1717	28946
56	1767	29246
57	1808	29380
58	1843	29403
59	1871	29323
60	1905	29334
61	1941	29380
62	1968	29274
63	2001	29272
64	2035	29280
65	2067	29259
66	2104	29303
67	2141	29352
68	2176	29371
69	2206	29309
70	2239	29303
71	2282	29418
72	2325	29528
73	2359	29519
74	2394	29534
75	2423	29466
76	2457	29460
77	2490	29434
78	2519	29373
79	2545	29276
80	2577	29241
81	2605	29164
82	2640	29175
83	2670	29118
84	2696	29025
85	2728	28993
86	2758	28944
87	2794	28960
88	2832	28996
89	2870	29026
90	2911	29084
91	2943	29050
92	2983	29094
93	3027	29177
94	3067	29223
95	3108	29273
96	3145	29278
97	3188	29351
98	3233	29424
99	3263	29371
100	3305	29425
101	3348	29477
102	3380	29438
103	3418	29455
104	3454	29443
105	3480	29356
106	3513	29326
107	3543	29270
108	3577	29243
109	3608	29197
110	3636	29127
111	3672	29117
112	3697	29020
113	3730	28993
114	3761	28945
115	3794	28915
116	3823	28856
117	3855	28819
118	3886	28773
119	3916	28724
120	3946	28667
121	3976	28621
122	4007	28572
123	4032	28486
124	4061	28432
125	4095	28411
126	4129	28387
127	4162	28357
128	4193	28312
129	4221	28251
130	4247	28173
131	4278	28133
132	4309	28094
133	4340	28052
134	4369	27999
135	4399	27950
136	4421	27854
137	4448	27786
138	4475	27724
139	4509	27703
140	4540	27658
141	4567	27598
142	4602	27584
143	4633	27545
144	4658	27469
145	4697	27475
146	4731	27453
147	4758	27393
148	4792	27371
149	4821	27322
150	4857	27310
151	4889	27276
152	4923	27256
153	4956	27228
154	4991	27209
155	5023	27177
156	5050	27119
157	5079	27071
158	5111	27034
159	5140	26988
160	5173	26961
161	5212	26963
162	5240	26908
163	5268	26854
164	5301	26831
165	5327	26768
166	5356	26718
167	5408	26784
168	5451	26803
169	5484	26777
170	5516	26745
171	5551	26725
172	5579	26669
173	5604	26605
174	5633	26555
175	5661	26506
176	5687	26444
177	5720	26418
178	5748	26367
179	5777	26319
180	5810	26291
181	5845	26274
182	5881	26259
183	5916	26236
184	5953	26227
185	5987	26202
186	6025	26195
187	6054	26149
188	6097	26162
189	6135	26156
190	6243	26445
191	6283	26445
192	6317	26416
193	6349	26381
194	6377	26325
195	6407	26284
196	6437	26241
197	6467	26195
198	6521	26249
199	6554	26218
200	6591	26203
201	6632	26203
202	6661	26152
203	6696	26128
204	6725	26082
205	6760	26058
206	6796	26037
207	6829	26003
208	6864	25980
209	6896	25944
210	6934	25929
211	6968	25900
212	7017	25928
213	7059	25927
214	7097	25912
215	7139	25914
216	7186	25930
217	7223	25910
218	7265	25910
219	7311	25921
220	7351	25912
221	7385	25882
222	7424	25870
223	7454	25825
224	7489	25796
225	7525	25773
226	7559	25743
227	7601	25739
228	7636	25711
229	7668	25671
230	7706	25655
231	7737	25615
232	7769	25574
233	7801	25539
234	7828	25484
235	7859	25443
236	7891	25404
237	7919	25355
238	7951	25316
239	7981	25275
240	8009	25224
241	8038	25179
242	8063	25120
243	8103	25108
244	8133	25065
245	8166	25029
246	8204	25012
247	8238	24980
248	8272	24950
249	8311	24935
250	8344	24901
251	8380	24876
252	8411	24835
253	8438	24784
254	8472	24753
255	8507	24724
256	8543	24699
257	8578	24671
258	8617	24654
259	8662	24655
260	8698	24629
261	8728	24587
262	8765	24563
263	8809	24558
264	8839	24516
265	8875	24489
266	8901	24437
267	8926	24380
268	8958	24343
269	8987	24299
270	9021	24268
271	9047	24215
272	9079	24178
273	9105	24126
274	9130	24070
275	9163	24037
276	9193	23997
277	9217	23939
278	9248	23899
279	9280	23865
280	9316	23838
281	9349	23804
282	9377	23758
283	9410	23725
284	9437	23676
285	9473	23649
286	9508	23623
287	9534	23570
288	9565	23532
289	9600	23504
290	9627	23456
291	9675	23459
292	9706	23421
293	9737	23382
294	9765	23336
295	9799	23305
296	9828	23265
297	9858	23223
298	9893	23194
299	9923	23155
300	9958	23125
301	9994	23099
302	10028	23069
303	10056	23023
304	10081	22973
305	10107	22923
306	10131	22869
307	10164	22837
308	10188	22783
309	10215	22737
310	10245	22697
311	10275	22658
312	10307	22623
313	10337	22585
314	10358	22526
315	10382	22474
316	10415	22440
317	10442	22394
318	10471	22353
319	10498	22309
320	10532	22279
321	10562	22241
322	10591	22199
323	10619	22156
324	10641	22102
325	10676	22072
326	10715	22054
327	10749	22023
328	10782	21990
329	10815	21958
330	10841	21912
331	10876	21883
332	10908	21850
333	10939	21814
334	10974	21784
335	11002	21743
336	11035	21711
337	11069	21680
338	11103	21650
339	11127	21599
340	11158	21565
341	11192	21533
342	11226	21504
343	11255	21464
344	11287	21429
345	11314	21386
346	11346	21352
347	11383	21327
348	11408	21281
349	11443	21252
350	11472	21213
351	11503	21176
352	11527	21128
353	11560	21096
354	11593	21063
355	11619	21019
356	11650	20983
357	11678	20943
358	11711	20910
359	11740	20872
360	11771	20836
361	11809	20813
362	11838	20774
363	11866	20733
364	11895	20694
365	11922	20652
366	11948	20608
367	11981	20576
368	12003	20525
369	12032	20487
370	12059	20446
371	12084	20400
372	12113	20362
373	12138	20317
374	12173	20289
375	12202	20250
376	12232	20214
377	12259	20172
378	12288	20135
379	12319	20099
380	12345	20057
381	12377	20023
382	12410	19993
383	12443	19961
384	12469	19918
385	12496	19877
386	12522	19835
387	12553	19801
388	12585	19768
389	12613	19729
390	12637	19684
391	12662	19639
392	12687	19596
393	12712	19552
394	12741	19514
395	12774	19484
396	12812	19460
397	12842	19425
398	12867	19382
399	12893	19340
400	12927	19310
401	12963	19284
402	12998	19255
403	13033	19227
404	13070	19203
405	13104	19173
406	13131	19133
407	13158	19092
408	13191	19061
409	13216	19019
410	13246	18982
411	13275	18947
412	13305	18910
413	13338	18880
414	13373	18852
415	13405	18818
